1,1,7/1/2015,166889
2,1,7/8/2015,170996
3,1,7/15/2015,170446
4,1,7/22/2015,196521
5,1,7/29/2015,194813
6,1,8/5/2015,178855
7,1,8/12/2015,203255
8,1,8/19/2015,175141
9,1,8/26/2015,137528
10,1,9/2/2015,178855
11,1,9/9/2015,167204
12,1,9/16/2015,207488
13,1,9/23/2015,217067
14,1,9/30/2015,196302
15,1,10/7/2015,102664
16,1,10/14/2015,157986
17,1,10/21/2015,167189
18,1,10/28/2015,160187
19,1,11/4/2015,163644
20,1,11/11/2015,167579
21,1,11/18/2015,165920
22,1,11/25/2015,182753
23,1,12/2/2015,170996
24,1,12/9/2015,166541
25,1,12/16/2015,166889
26,1,12/23/2015,170996
27,1,12/30/2015,170446
28,1,1/6/2016,196521
29,1,1/13/2016,194813
30,1,1/20/2016,178855
31,1,1/27/2016,203255
32,1,2/3/2016,175141
33,1,2/10/2016,137528
34,1,2/17/2016,167204
35,1,2/24/2016,207488
36,1,3/2/2016,217067
37,1,3/9/2016,196302
38,1,3/16/2016,102664
